"Id";"Identificador";"Paquete";"Cantidad";"Identificación";"Suministrador y ref";
1;"RV1,RV3,RV2";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";3;"R_POT";;;
2;"J1";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";1;"IN3";;;
3;"J2";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";1;"IN1";;;
4;"J3";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";1;"IN2";;;
5;"J4";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";1;"Out";;;
6;"J5";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";1;"InvOut";;;
7;"R2,R4,R5,R8,R3,R6,R1,R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";8;"R";;;
8;"C3,C6,C2,C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";4;"100n";;;
9;"D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N5819";;;
10;"C5,C4";"CP_Radial_D4.0mm_P2.00mm";2;"CP1";;;
11;"U1";"DIP-8_W7.62mm_Socket";1;"TL072";;;
12;"J6";"IDC-Header_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
